id,category,slot,n_claims,correct_claims,accuracy
temporal-0010,temporal,time,3,0,0.0
temporal-0010,temporal,validity,3,0,0.0
temporal-0010,temporal,scope,3,3,1.0
temporal-0010,temporal,modality,3,3,1.0
temporal-0010,temporal,source_status,3,0,0.0
temporal-0010,temporal,observer_knowledge,3,3,1.0
temporal-0010,temporal,world,3,3,1.0
temporal-0011,temporal,actor,3,3,1.0
temporal-0011,temporal,event,3,3,1.0
temporal-0011,temporal,time,3,0,0.0
temporal-0011,temporal,validity,3,0,0.0
temporal-0011,temporal,scope,3,3,1.0
temporal-0011,temporal,modality,3,3,1.0
temporal-0011,temporal,source_status,3,0,0.0
temporal-0011,temporal,observer_knowledge,3,3,1.0
temporal-0011,temporal,world,3,3,1.0
temporal-0012,temporal,actor,3,3,1.0
temporal-0012,temporal,event,3,3,1.0
temporal-0012,temporal,time,3,0,0.0
temporal-0012,temporal,validity,3,0,0.0
temporal-0012,temporal,scope,3,3,1.0
temporal-0012,temporal,modality,3,3,1.0
temporal-0012,temporal,source_status,3,0,0.0
temporal-0012,temporal,observer_knowledge,3,3,1.0
temporal-0012,temporal,world,3,3,1.0
temporal-0013,temporal,actor,3,3,1.0
temporal-0013,temporal,event,3,3,1.0
temporal-0013,temporal,time,3,0,0.0
temporal-0013,temporal,validity,3,0,0.0
temporal-0013,temporal,scope,3,3,1.0
temporal-0013,temporal,modality,3,3,1.0
temporal-0013,temporal,source_status,3,0,0.0
temporal-0013,temporal,observer_knowledge,3,3,1.0
temporal-0013,temporal,world,3,3,1.0
temporal-0014,temporal,actor,3,3,1.0
temporal-0014,temporal,event,3,3,1.0
temporal-0014,temporal,time,3,0,0.0
temporal-0014,temporal,validity,3,0,0.0
temporal-0014,temporal,scope,3,3,1.0
temporal-0014,temporal,modality,3,3,1.0
temporal-0014,temporal,source_status,3,0,0.0
temporal-0014,temporal,observer_knowledge,3,3,1.0
temporal-0014,temporal,world,3,3,1.0
temporal-0015,temporal,actor,3,3,1.0
temporal-0015,temporal,event,3,3,1.0
temporal-0015,temporal,time,3,0,0.0
temporal-0015,temporal,validity,3,0,0.0
temporal-0015,temporal,scope,3,3,1.0
temporal-0015,temporal,modality,3,3,1.0
temporal-0015,temporal,source_status,3,0,0.0
temporal-0015,temporal,observer_knowledge,3,3,1.0
temporal-0015,temporal,world,3,3,1.0
temporal-0016,temporal,actor,3,3,1.0
temporal-0016,temporal,event,3,3,1.0
temporal-0016,temporal,time,3,0,0.0
temporal-0016,temporal,validity,3,0,0.0
temporal-0016,temporal,scope,3,3,1.0
temporal-0016,temporal,modality,3,3,1.0
temporal-0016,temporal,source_status,3,0,0.0
temporal-0016,temporal,observer_knowledge,3,3,1.0
temporal-0016,temporal,world,3,3,1.0
temporal-0017,temporal,actor,3,3,1.0
temporal-0017,temporal,event,3,3,1.0
temporal-0017,temporal,time,3,0,0.0
temporal-0017,temporal,validity,3,0,0.0
temporal-0017,temporal,scope,3,3,1.0
temporal-0017,temporal,modality,3,3,1.0
temporal-0017,temporal,source_status,3,0,0.0
temporal-0017,temporal,observer_knowledge,3,3,1.0
temporal-0017,temporal,world,3,3,1.0
temporal-0018,temporal,actor,3,3,1.0
temporal-0018,temporal,event,3,3,1.0
temporal-0018,temporal,time,3,0,0.0
temporal-0018,temporal,validity,3,0,0.0
temporal-0018,temporal,scope,3,3,1.0
temporal-0018,temporal,modality,3,3,1.0
temporal-0018,temporal,source_status,3,0,0.0
temporal-0018,temporal,observer_knowledge,3,3,1.0
temporal-0018,temporal,world,3,3,1.0
temporal-0019,temporal,actor,3,3,1.0
temporal-0019,temporal,event,3,3,1.0
temporal-0019,temporal,time,3,0,0.0
temporal-0019,temporal,validity,3,0,0.0
temporal-0019,temporal,scope,3,3,1.0
temporal-0019,temporal,modality,3,3,1.0
temporal-0019,temporal,source_status,3,0,0.0
temporal-0019,temporal,observer_knowledge,3,3,1.0
temporal-0019,temporal,world,3,3,1.0
temporal-0020,temporal,actor,3,3,1.0
temporal-0020,temporal,event,3,3,1.0
temporal-0020,temporal,time,3,0,0.0
temporal-0020,temporal,validity,3,0,0.0
temporal-0020,temporal,scope,3,3,1.0
temporal-0020,temporal,modality,3,3,1.0
temporal-0020,temporal,source_status,3,0,0.0
temporal-0020,temporal,observer_knowledge,3,3,1.0
temporal-0020,temporal,world,3,3,1.0
temporal-0021,temporal,actor,3,3,1.0
temporal-0021,temporal,event,3,3,1.0
temporal-0021,temporal,time,3,0,0.0
temporal-0021,temporal,validity,3,0,0.0
temporal-0021,temporal,scope,3,3,1.0
temporal-0021,temporal,modality,3,3,1.0
temporal-0021,temporal,source_status,3,0,0.0
temporal-0021,temporal,observer_knowledge,3,3,1.0
temporal-0021,temporal,world,3,3,1.0
temporal-0022,temporal,actor,3,3,1.0
temporal-0022,temporal,event,3,3,1.0
temporal-0022,temporal,time,3,0,0.0
temporal-0022,temporal,validity,3,0,0.0
temporal-0022,temporal,scope,3,3,1.0
temporal-0022,temporal,modality,3,3,1.0
temporal-0022,temporal,source_status,3,0,0.0
temporal-0022,temporal,observer_knowledge,3,3,1.0
temporal-0022,temporal,world,3,3,1.0
temporal-0023,temporal,actor,3,3,1.0
temporal-0023,temporal,event,3,3,1.0
temporal-0023,temporal,time,3,0,0.0
temporal-0023,temporal,validity,3,0,0.0
temporal-0023,temporal,scope,3,3,1.0
temporal-0023,temporal,modality,3,3,1.0
temporal-0023,temporal,source_status,3,0,0.0
temporal-0023,temporal,observer_knowledge,3,3,1.0
temporal-0023,temporal,world,3,3,1.0
temporal-0024,temporal,actor,3,3,1.0
temporal-0024,temporal,event,3,3,1.0
temporal-0024,temporal,time,3,0,0.0
temporal-0024,temporal,validity,3,0,0.0
temporal-0024,temporal,scope,3,3,1.0
temporal-0024,temporal,modality,3,3,1.0
temporal-0024,temporal,source_status,3,0,0.0
temporal-0024,temporal,observer_knowledge,3,3,1.0
temporal-0024,temporal,world,3,3,1.0
temporal-0025,temporal,actor,3,3,1.0
temporal-0025,temporal,event,3,3,1.0
temporal-0025,temporal,time,3,0,0.0
temporal-0025,temporal,validity,3,0,0.0
temporal-0025,temporal,scope,3,3,1.0
temporal-0025,temporal,modality,3,3,1.0
temporal-0025,temporal,source_status,3,0,0.0
temporal-0025,temporal,observer_knowledge,3,3,1.0
temporal-0025,temporal,world,3,3,1.0
temporal-0026,temporal,actor,3,3,1.0
temporal-0026,temporal,event,3,3,1.0
temporal-0026,temporal,time,3,0,0.0
temporal-0026,temporal,validity,3,0,0.0
temporal-0026,temporal,scope,3,3,1.0
temporal-0026,temporal,modality,3,3,1.0
temporal-0026,temporal,source_status,3,0,0.0
temporal-0026,temporal,observer_knowledge,3,3,1.0
temporal-0026,temporal,world,3,3,1.0
temporal-0027,temporal,actor,3,3,1.0
temporal-0027,temporal,event,3,3,1.0
temporal-0027,temporal,time,3,0,0.0
temporal-0027,temporal,validity,3,0,0.0
temporal-0027,temporal,scope,3,3,1.0
temporal-0027,temporal,modality,3,3,1.0
temporal-0027,temporal,source_status,3,0,0.0
temporal-0027,temporal,observer_knowledge,3,3,1.0
temporal-0027,temporal,world,3,3,1.0
temporal-0028,temporal,actor,3,3,1.0
temporal-0028,temporal,event,3,3,1.0
temporal-0028,temporal,time,3,0,0.0
temporal-0028,temporal,validity,3,0,0.0
temporal-0028,temporal,scope,3,3,1.0
temporal-0028,temporal,modality,3,3,1.0
temporal-0028,temporal,source_status,3,0,0.0
temporal-0028,temporal,observer_knowledge,3,3,1.0
temporal-0028,temporal,world,3,3,1.0
temporal-0029,temporal,actor,3,3,1.0
temporal-0029,temporal,event,3,3,1.0
temporal-0029,temporal,time,3,0,0.0
temporal-0029,temporal,validity,3,0,0.0
temporal-0029,temporal,scope,3,3,1.0
temporal-0029,temporal,modality,3,3,1.0
temporal-0029,temporal,source_status,3,0,0.0
temporal-0029,temporal,observer_knowledge,3,3,1.0
temporal-0029,temporal,world,3,3,1.0
temporal-0030,temporal,actor,3,3,1.0
temporal-0030,temporal,event,3,3,1.0
temporal-0030,temporal,time,3,0,0.0
temporal-0030,temporal,validity,3,0,0.0
temporal-0030,temporal,scope,3,3,1.0
temporal-0030,temporal,modality,3,3,1.0
temporal-0030,temporal,source_status,3,0,0.0
temporal-0030,temporal,observer_knowledge,3,3,1.0
temporal-0030,temporal,world,3,3,1.0
temporal-0031,temporal,actor,3,3,1.0
temporal-0031,temporal,event,3,3,1.0
temporal-0031,temporal,time,3,0,0.0
temporal-0031,temporal,validity,3,0,0.0
temporal-0031,temporal,scope,3,3,1.0
temporal-0031,temporal,modality,3,3,1.0
temporal-0031,temporal,source_status,3,0,0.0
temporal-0031,temporal,observer_knowledge,3,3,1.0
temporal-0031,temporal,world,3,3,1.0
temporal-0032,temporal,actor,3,3,1.0
temporal-0032,temporal,event,3,3,1.0
temporal-0032,temporal,time,3,0,0.0
temporal-0032,temporal,validity,3,0,0.0
temporal-0032,temporal,scope,3,3,1.0
temporal-0032,temporal,modality,3,3,1.0
temporal-0032,temporal,source_status,3,0,0.0
temporal-0032,temporal,observer_knowledge,3,3,1.0
temporal-0032,temporal,world,3,3,1.0
temporal-0033,temporal,actor,3,3,1.0
temporal-0033,temporal,event,3,3,1.0
temporal-0033,temporal,time,3,0,0.0
temporal-0033,temporal,validity,3,0,0.0
temporal-0033,temporal,scope,3,3,1.0
temporal-0033,temporal,modality,3,3,1.0
temporal-0033,temporal,source_status,3,0,0.0
temporal-0033,temporal,observer_knowledge,3,3,1.0
temporal-0033,temporal,world,3,3,1.0
temporal-0034,temporal,actor,3,3,1.0
temporal-0034,temporal,event,3,3,1.0
temporal-0034,temporal,time,3,0,0.0
temporal-0034,temporal,validity,3,0,0.0
temporal-0034,temporal,scope,3,3,1.0
temporal-0034,temporal,modality,3,3,1.0
temporal-0034,temporal,source_status,3,0,0.0
temporal-0034,temporal,observer_knowledge,3,3,1.0
temporal-0034,temporal,world,3,3,1.0
temporal-0035,temporal,actor,3,3,1.0
temporal-0035,temporal,event,3,3,1.0
temporal-0035,temporal,time,3,0,0.0
temporal-0035,temporal,validity,3,0,0.0
temporal-0035,temporal,scope,3,3,1.0
temporal-0035,temporal,modality,3,3,1.0
temporal-0035,temporal,source_status,3,0,0.0
temporal-0035,temporal,observer_knowledge,3,3,1.0
temporal-0035,temporal,world,3,3,1.0
temporal-0036,temporal,actor,3,3,1.0
temporal-0036,temporal,event,3,3,1.0
temporal-0036,temporal,time,3,0,0.0
temporal-0036,temporal,validity,3,0,0.0
temporal-0036,temporal,scope,3,3,1.0
temporal-0036,temporal,modality,3,3,1.0
temporal-0036,temporal,source_status,3,0,0.0
temporal-0036,temporal,observer_knowledge,3,3,1.0
temporal-0036,temporal,world,3,3,1.0
temporal-0037,temporal,actor,3,3,1.0
temporal-0037,temporal,event,3,3,1.0
temporal-0037,temporal,time,3,0,0.0
temporal-0037,temporal,validity,3,0,0.0
temporal-0037,temporal,scope,3,3,1.0
temporal-0037,temporal,modality,3,3,1.0
temporal-0037,temporal,source_status,3,0,0.0
temporal-0037,temporal,observer_knowledge,3,3,1.0
temporal-0037,temporal,world,3,3,1.0
temporal-0038,temporal,actor,3,3,1.0
temporal-0038,temporal,event,3,3,1.0
temporal-0038,temporal,time,3,0,0.0
temporal-0038,temporal,validity,3,0,0.0
temporal-0038,temporal,scope,3,3,1.0
temporal-0038,temporal,modality,3,3,1.0
temporal-0038,temporal,source_status,3,0,0.0
temporal-0038,temporal,observer_knowledge,3,3,1.0
temporal-0038,temporal,world,3,3,1.0
temporal-0039,temporal,actor,3,3,1.0
temporal-0039,temporal,event,3,3,1.0
temporal-0039,temporal,time,3,0,0.0
temporal-0039,temporal,validity,3,0,0.0
temporal-0039,temporal,scope,3,3,1.0
temporal-0039,temporal,modality,3,3,1.0
temporal-0039,temporal,source_status,3,0,0.0
temporal-0039,temporal,observer_knowledge,3,3,1.0
temporal-0039,temporal,world,3,3,1.0
temporal-0040,temporal,actor,3,3,1.0
temporal-0040,temporal,event,3,3,1.0
temporal-0040,temporal,time,3,0,0.0
temporal-0040,temporal,validity,3,0,0.0
temporal-0040,temporal,scope,3,3,1.0
temporal-0040,temporal,modality,3,3,1.0
temporal-0040,temporal,source_status,3,0,0.0
temporal-0040,temporal,observer_knowledge,3,3,1.0
temporal-0040,temporal,world,3,3,1.0
temporal-0041,temporal,actor,3,3,1.0
temporal-0041,temporal,event,3,3,1.0
temporal-0041,temporal,time,3,0,0.0
temporal-0041,temporal,validity,3,0,0.0
temporal-0041,temporal,scope,3,3,1.0
temporal-0041,temporal,modality,3,3,1.0
temporal-0041,temporal,source_status,3,0,0.0
temporal-0041,temporal,observer_knowledge,3,3,1.0
temporal-0041,temporal,world,3,3,1.0
temporal-0042,temporal,actor,3,3,1.0
temporal-0042,temporal,event,3,3,1.0
temporal-0042,temporal,time,3,0,0.0
temporal-0042,temporal,validity,3,0,0.0
temporal-0042,temporal,scope,3,3,1.0
temporal-0042,temporal,modality,3,3,1.0
temporal-0042,temporal,source_status,3,0,0.0
temporal-0042,temporal,observer_knowledge,3,3,1.0
temporal-0042,temporal,world,3,3,1.0
temporal-0043,temporal,actor,3,3,1.0
temporal-0043,temporal,event,3,3,1.0
temporal-0043,temporal,time,3,0,0.0
temporal-0043,temporal,validity,3,0,0.0
temporal-0043,temporal,scope,3,3,1.0
temporal-0043,temporal,modality,3,3,1.0
temporal-0043,temporal,source_status,3,0,0.0
temporal-0043,temporal,observer_knowledge,3,3,1.0
temporal-0043,temporal,world,3,3,1.0
temporal-0044,temporal,actor,3,3,1.0
temporal-0044,temporal,event,3,3,1.0
temporal-0044,temporal,time,3,0,0.0
temporal-0044,temporal,validity,3,0,0.0
temporal-0044,temporal,scope,3,3,1.0
temporal-0044,temporal,modality,3,3,1.0
temporal-0044,temporal,source_status,3,0,0.0
temporal-0044,temporal,observer_knowledge,3,3,1.0
temporal-0044,temporal,world,3,3,1.0
temporal-0045,temporal,actor,3,3,1.0
temporal-0045,temporal,event,3,3,1.0
temporal-0045,temporal,time,3,0,0.0
temporal-0045,temporal,validity,3,0,0.0
temporal-0045,temporal,scope,3,3,1.0
temporal-0045,temporal,modality,3,3,1.0
temporal-0045,temporal,source_status,3,0,0.0
temporal-0045,temporal,observer_knowledge,3,3,1.0
temporal-0045,temporal,world,3,3,1.0
temporal-0046,temporal,actor,3,3,1.0
temporal-0046,temporal,event,3,3,1.0
temporal-0046,temporal,time,3,0,0.0
temporal-0046,temporal,validity,3,0,0.0
temporal-0046,temporal,scope,3,3,1.0
temporal-0046,temporal,modality,3,3,1.0
temporal-0046,temporal,source_status,3,0,0.0
temporal-0046,temporal,observer_knowledge,3,3,1.0
temporal-0046,temporal,world,3,3,1.0
temporal-0047,temporal,actor,3,3,1.0
temporal-0047,temporal,event,3,3,1.0
temporal-0047,temporal,time,3,0,0.0
temporal-0047,temporal,validity,3,0,0.0
temporal-0047,temporal,scope,3,3,1.0
temporal-0047,temporal,modality,3,3,1.0
temporal-0047,temporal,source_status,3,0,0.0
temporal-0047,temporal,observer_knowledge,3,3,1.0
temporal-0047,temporal,world,3,3,1.0
temporal-0048,temporal,actor,3,3,1.0
temporal-0048,temporal,event,3,3,1.0
temporal-0048,temporal,time,3,0,0.0
temporal-0048,temporal,validity,3,0,0.0
temporal-0048,temporal,scope,3,3,1.0
temporal-0048,temporal,modality,3,3,1.0
temporal-0048,temporal,source_status,3,0,0.0
temporal-0048,temporal,observer_knowledge,3,3,1.0
temporal-0048,temporal,world,3,3,1.0
temporal-0049,temporal,actor,3,3,1.0
temporal-0049,temporal,event,3,3,1.0
temporal-0049,temporal,time,3,0,0.0
temporal-0049,temporal,validity,3,0,0.0
temporal-0049,temporal,scope,3,3,1.0
temporal-0049,temporal,modality,3,3,1.0
temporal-0049,temporal,source_status,3,0,0.0
temporal-0049,temporal,observer_knowledge,3,3,1.0
temporal-0049,temporal,world,3,3,1.0
temporal-0050,temporal,actor,3,3,1.0
temporal-0050,temporal,event,3,3,1.0
temporal-0050,temporal,time,3,0,0.0
temporal-0050,temporal,validity,3,0,0.0
temporal-0050,temporal,scope,3,3,1.0
temporal-0050,temporal,modality,3,3,1.0
temporal-0050,temporal,source_status,3,0,0.0
temporal-0050,temporal,observer_knowledge,3,3,1.0
temporal-0050,temporal,world,3,3,1.0
temporal-0051,temporal,actor,3,3,1.0
temporal-0051,temporal,event,3,3,1.0
temporal-0051,temporal,time,3,0,0.0
temporal-0051,temporal,validity,3,0,0.0
temporal-0051,temporal,scope,3,3,1.0
temporal-0051,temporal,modality,3,3,1.0
temporal-0051,temporal,source_status,3,0,0.0
temporal-0051,temporal,observer_knowledge,3,3,1.0
temporal-0051,temporal,world,3,3,1.0
temporal-0052,temporal,actor,3,3,1.0
temporal-0052,temporal,event,3,3,1.0
temporal-0052,temporal,time,3,0,0.0
temporal-0052,temporal,validity,3,0,0.0
temporal-0052,temporal,scope,3,3,1.0
temporal-0052,temporal,modality,3,3,1.0
temporal-0052,temporal,source_status,3,0,0.0
temporal-0052,temporal,observer_knowledge,3,3,1.0
temporal-0052,temporal,world,3,3,1.0
temporal-0053,temporal,actor,3,3,1.0
temporal-0053,temporal,event,3,3,1.0
temporal-0053,temporal,time,3,0,0.0
temporal-0053,temporal,validity,3,0,0.0
temporal-0053,temporal,scope,3,3,1.0
temporal-0053,temporal,modality,3,3,1.0
temporal-0053,temporal,source_status,3,0,0.0
temporal-0053,temporal,observer_knowledge,3,3,1.0
temporal-0053,temporal,world,3,3,1.0
temporal-0054,temporal,actor,3,3,1.0
temporal-0054,temporal,event,3,3,1.0
temporal-0054,temporal,time,3,0,0.0
temporal-0054,temporal,validity,3,0,0.0
temporal-0054,temporal,scope,3,3,1.0
temporal-0054,temporal,modality,3,3,1.0
temporal-0054,temporal,source_status,3,0,0.0
temporal-0054,temporal,observer_knowledge,3,3,1.0
temporal-0054,temporal,world,3,3,1.0
temporal-0055,temporal,actor,3,3,1.0
temporal-0055,temporal,event,3,3,1.0
temporal-0055,temporal,time,3,0,0.0
temporal-0055,temporal,validity,3,0,0.0
temporal-0055,temporal,scope,3,3,1.0
temporal-0055,temporal,modality,3,3,1.0
temporal-0055,temporal,source_status,3,0,0.0
temporal-0055,temporal,observer_knowledge,3,3,1.0
temporal-0055,temporal,world,3,3,1.0
temporal-0056,temporal,actor,3,3,1.0
temporal-0056,temporal,event,3,3,1.0
temporal-0056,temporal,time,3,0,0.0
temporal-0056,temporal,validity,3,0,0.0
temporal-0056,temporal,scope,3,3,1.0
temporal-0056,temporal,modality,3,3,1.0
temporal-0056,temporal,source_status,3,0,0.0
temporal-0056,temporal,observer_knowledge,3,3,1.0
temporal-0056,temporal,world,3,3,1.0
temporal-0057,temporal,actor,3,3,1.0
temporal-0057,temporal,event,3,3,1.0
temporal-0057,temporal,time,3,0,0.0
temporal-0057,temporal,validity,3,0,0.0
temporal-0057,temporal,scope,3,3,1.0
temporal-0057,temporal,modality,3,3,1.0
temporal-0057,temporal,source_status,3,0,0.0
temporal-0057,temporal,observer_knowledge,3,3,1.0
temporal-0057,temporal,world,3,3,1.0
temporal-0058,temporal,actor,3,3,1.0
temporal-0058,temporal,event,3,3,1.0
temporal-0058,temporal,time,3,0,0.0
temporal-0058,temporal,validity,3,0,0.0
temporal-0058,temporal,scope,3,3,1.0
temporal-0058,temporal,modality,3,3,1.0
temporal-0058,temporal,source_status,3,0,0.0
temporal-0058,temporal,observer_knowledge,3,3,1.0
temporal-0058,temporal,world,3,3,1.0
temporal-0059,temporal,actor,3,3,1.0
temporal-0059,temporal,event,3,3,1.0
temporal-0059,temporal,time,3,0,0.0
temporal-0059,temporal,validity,3,0,0.0
temporal-0059,temporal,scope,3,3,1.0
temporal-0059,temporal,modality,3,3,1.0
temporal-0059,temporal,source_status,3,0,0.0
temporal-0059,temporal,observer_knowledge,3,3,1.0
temporal-0059,temporal,world,3,3,1.0
temporal-0060,temporal,actor,3,3,1.0
temporal-0060,temporal,event,3,3,1.0
temporal-0060,temporal,time,3,0,0.0
temporal-0060,temporal,validity,3,0,0.0
temporal-0060,temporal,scope,3,3,1.0
temporal-0060,temporal,modality,3,3,1.0
temporal-0060,temporal,source_status,3,0,0.0
temporal-0060,temporal,observer_knowledge,3,3,1.0
temporal-0060,temporal,world,3,3,1.0
temporal-0061,temporal,actor,3,3,1.0
temporal-0061,temporal,event,3,3,1.0
temporal-0061,temporal,time,3,0,0.0
temporal-0061,temporal,validity,3,0,0.0
temporal-0061,temporal,scope,3,3,1.0
temporal-0061,temporal,modality,3,3,1.0
temporal-0061,temporal,source_status,3,0,0.0
temporal-0061,temporal,observer_knowledge,3,3,1.0
temporal-0061,temporal,world,3,3,1.0
temporal-0062,temporal,actor,3,3,1.0
temporal-0062,temporal,event,3,3,1.0
temporal-0062,temporal,time,3,0,0.0
temporal-0062,temporal,validity,3,0,0.0
temporal-0062,temporal,scope,3,3,1.0
temporal-0062,temporal,modality,3,3,1.0
temporal-0062,temporal,source_status,3,0,0.0
temporal-0062,temporal,observer_knowledge,3,3,1.0
temporal-0062,temporal,world,3,3,1.0
temporal-0063,temporal,actor,3,3,1.0
temporal-0063,temporal,event,3,3,1.0
temporal-0063,temporal,time,3,0,0.0
temporal-0063,temporal,validity,3,0,0.0
temporal-0063,temporal,scope,3,3,1.0
temporal-0063,temporal,modality,3,3,1.0
temporal-0063,temporal,source_status,3,0,0.0
temporal-0063,temporal,observer_knowledge,3,3,1.0
temporal-0063,temporal,world,3,3,1.0
temporal-0064,temporal,actor,3,3,1.0
temporal-0064,temporal,event,3,3,1.0
temporal-0064,temporal,time,3,0,0.0
temporal-0064,temporal,validity,3,0,0.0
temporal-0064,temporal,scope,3,3,1.0
temporal-0064,temporal,modality,3,3,1.0
temporal-0064,temporal,source_status,3,0,0.0
temporal-0064,temporal,observer_knowledge,3,3,1.0
temporal-0064,temporal,world,3,3,1.0
temporal-0065,temporal,actor,3,3,1.0
temporal-0065,temporal,event,3,3,1.0
temporal-0065,temporal,time,3,0,0.0
temporal-0065,temporal,validity,3,0,0.0
temporal-0065,temporal,scope,3,3,1.0
temporal-0065,temporal,modality,3,3,1.0
temporal-0065,temporal,source_status,3,0,0.0
temporal-0065,temporal,observer_knowledge,3,3,1.0
temporal-0065,temporal,world,3,3,1.0
temporal-0066,temporal,actor,3,3,1.0
temporal-0066,temporal,event,3,3,1.0
temporal-0066,temporal,time,3,0,0.0
temporal-0066,temporal,validity,3,0,0.0
temporal-0066,temporal,scope,3,3,1.0
temporal-0066,temporal,modality,3,3,1.0
temporal-0066,temporal,source_status,3,0,0.0
temporal-0066,temporal,observer_knowledge,3,3,1.0
temporal-0066,temporal,world,3,3,1.0
temporal-0067,temporal,actor,3,3,1.0
temporal-0067,temporal,event,3,3,1.0
temporal-0067,temporal,time,3,0,0.0
temporal-0067,temporal,validity,3,0,0.0
temporal-0067,temporal,scope,3,3,1.0
temporal-0067,temporal,modality,3,3,1.0
temporal-0067,temporal,source_status,3,0,0.0
temporal-0067,temporal,observer_knowledge,3,3,1.0
temporal-0067,temporal,world,3,3,1.0
temporal-0068,temporal,actor,3,3,1.0
temporal-0068,temporal,event,3,3,1.0
temporal-0068,temporal,time,3,0,0.0
temporal-0068,temporal,validity,3,0,0.0
temporal-0068,temporal,scope,3,3,1.0
temporal-0068,temporal,modality,3,3,1.0
temporal-0068,temporal,source_status,3,0,0.0
temporal-0068,temporal,observer_knowledge,3,3,1.0
temporal-0068,temporal,world,3,3,1.0
temporal-0069,temporal,actor,3,3,1.0
temporal-0069,temporal,event,3,3,1.0
temporal-0069,temporal,time,3,0,0.0
