id,category,condition,gold_action,gold_answer,pred_action,pred_answer,correct
temporal-0008,temporal,corrupted_state,ANSWER,Cato,ANSWER,Ivan,0
temporal-0009,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0009,temporal,predicted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0009,temporal,corrupted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0010,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0010,temporal,predicted_state,ANSWER,Gio,ANSWER,Bora,0
temporal-0010,temporal,corrupted_state,ANSWER,Gio,ANSWER,Bora,0
temporal-0011,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0011,temporal,predicted_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0011,temporal,corrupted_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0012,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0012,temporal,predicted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0012,temporal,corrupted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0013,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0013,temporal,predicted_state,ANSWER,Eli,ANSWER,Faye,0
temporal-0013,temporal,corrupted_state,ANSWER,Eli,ANSWER,Faye,0
temporal-0014,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0014,temporal,predicted_state,ANSWER,Gio,ANSWER,unknown,0
temporal-0014,temporal,corrupted_state,ANSWER,Gio,ANSWER,unknown,0
temporal-0015,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0015,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0015,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0016,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0016,temporal,predicted_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0016,temporal,corrupted_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0017,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0017,temporal,predicted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0017,temporal,corrupted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0018,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0018,temporal,predicted_state,ANSWER,Ivan,ANSWER,Faye,0
temporal-0018,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Faye,0
temporal-0019,temporal,gold_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0019,temporal,predicted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0019,temporal,corrupted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0020,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0020,temporal,predicted_state,ANSWER,Juno,ANSWER,Kira,0
temporal-0020,temporal,corrupted_state,ANSWER,Juno,ANSWER,Kira,0
temporal-0021,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0021,temporal,predicted_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0021,temporal,corrupted_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0022,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0022,temporal,predicted_state,ANSWER,Ari,ANSWER,Hana,0
temporal-0022,temporal,corrupted_state,ANSWER,Ari,ANSWER,Hana,0
temporal-0023,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0023,temporal,predicted_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0023,temporal,corrupted_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0024,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0024,temporal,predicted_state,ANSWER,Eli,ANSWER,Dina,0
temporal-0024,temporal,corrupted_state,ANSWER,Eli,ANSWER,Dina,0
temporal-0025,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0025,temporal,predicted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0025,temporal,corrupted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0026,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0026,temporal,predicted_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0026,temporal,corrupted_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0027,temporal,gold_state,ANSWER,Cato,ANSWER,Cato,1
temporal-0027,temporal,predicted_state,ANSWER,Cato,ANSWER,Gio,0
temporal-0027,temporal,corrupted_state,ANSWER,Cato,ANSWER,Gio,0
temporal-0028,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0028,temporal,predicted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0028,temporal,corrupted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0029,temporal,gold_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0029,temporal,predicted_state,ANSWER,Bora,ANSWER,Ivan,0
temporal-0029,temporal,corrupted_state,ANSWER,Bora,ANSWER,Ivan,0
temporal-0030,temporal,gold_state,ANSWER,Cato,ANSWER,Cato,1
temporal-0030,temporal,predicted_state,ANSWER,Cato,ANSWER,unknown,0
temporal-0030,temporal,corrupted_state,ANSWER,Cato,ANSWER,unknown,0
temporal-0031,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0031,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0031,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0032,temporal,gold_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0032,temporal,predicted_state,ANSWER,Faye,ANSWER,Hana,0
temporal-0032,temporal,corrupted_state,ANSWER,Faye,ANSWER,Hana,0
temporal-0033,temporal,gold_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0033,temporal,predicted_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0033,temporal,corrupted_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0034,temporal,gold_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0034,temporal,predicted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0034,temporal,corrupted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0035,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0035,temporal,predicted_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0035,temporal,corrupted_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0036,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0036,temporal,predicted_state,ANSWER,Luca,ANSWER,unknown,0
temporal-0036,temporal,corrupted_state,ANSWER,Luca,ANSWER,unknown,0
temporal-0037,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0037,temporal,predicted_state,ANSWER,Luca,ANSWER,Gio,0
temporal-0037,temporal,corrupted_state,ANSWER,Luca,ANSWER,Gio,0
temporal-0038,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0038,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0038,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0039,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0039,temporal,predicted_state,ANSWER,Ari,ANSWER,Gio,0
temporal-0039,temporal,corrupted_state,ANSWER,Ari,ANSWER,Gio,0
temporal-0040,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0040,temporal,predicted_state,ANSWER,Eli,ANSWER,unknown,0
temporal-0040,temporal,corrupted_state,ANSWER,Eli,ANSWER,unknown,0
temporal-0041,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0041,temporal,predicted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0041,temporal,corrupted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0042,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0042,temporal,predicted_state,ANSWER,Kira,ANSWER,unknown,0
temporal-0042,temporal,corrupted_state,ANSWER,Kira,ANSWER,unknown,0
temporal-0043,temporal,gold_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0043,temporal,predicted_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0043,temporal,corrupted_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0044,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0044,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0044,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0045,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0045,temporal,predicted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0045,temporal,corrupted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0046,temporal,gold_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0046,temporal,predicted_state,ANSWER,Bora,ANSWER,Hana,0
temporal-0046,temporal,corrupted_state,ANSWER,Bora,ANSWER,Hana,0
temporal-0047,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0047,temporal,predicted_state,ANSWER,Juno,ANSWER,Eli,0
temporal-0047,temporal,corrupted_state,ANSWER,Juno,ANSWER,Eli,0
temporal-0048,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0048,temporal,predicted_state,ANSWER,Eli,ANSWER,unknown,0
temporal-0048,temporal,corrupted_state,ANSWER,Eli,ANSWER,unknown,0
temporal-0049,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0049,temporal,predicted_state,ANSWER,Juno,ANSWER,Ari,0
temporal-0049,temporal,corrupted_state,ANSWER,Juno,ANSWER,Ari,0
temporal-0050,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0050,temporal,predicted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0050,temporal,corrupted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0051,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0051,temporal,predicted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0051,temporal,corrupted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0052,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0052,temporal,predicted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0052,temporal,corrupted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0053,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0053,temporal,predicted_state,ANSWER,Gio,ANSWER,unknown,0
temporal-0053,temporal,corrupted_state,ANSWER,Gio,ANSWER,unknown,0
temporal-0054,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0054,temporal,predicted_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0054,temporal,corrupted_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0055,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0055,temporal,predicted_state,ANSWER,Ari,ANSWER,unknown,0
temporal-0055,temporal,corrupted_state,ANSWER,Ari,ANSWER,unknown,0
temporal-0056,temporal,gold_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0056,temporal,predicted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0056,temporal,corrupted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0057,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0057,temporal,predicted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0057,temporal,corrupted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0058,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0058,temporal,predicted_state,ANSWER,Kira,ANSWER,Ivan,0
temporal-0058,temporal,corrupted_state,ANSWER,Kira,ANSWER,Ivan,0
temporal-0059,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0059,temporal,predicted_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0059,temporal,corrupted_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0060,temporal,gold_state,ANSWER,Cato,ANSWER,Cato,1
temporal-0060,temporal,predicted_state,ANSWER,Cato,ANSWER,unknown,0
temporal-0060,temporal,corrupted_state,ANSWER,Cato,ANSWER,unknown,0
temporal-0061,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0061,temporal,predicted_state,ANSWER,Eli,ANSWER,Faye,0
temporal-0061,temporal,corrupted_state,ANSWER,Eli,ANSWER,Faye,0
temporal-0062,temporal,gold_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0062,temporal,predicted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0062,temporal,corrupted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0063,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0063,temporal,predicted_state,ANSWER,Eli,ANSWER,Dina,0
temporal-0063,temporal,corrupted_state,ANSWER,Eli,ANSWER,Dina,0
temporal-0064,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0064,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0064,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0065,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0065,temporal,predicted_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0065,temporal,corrupted_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0066,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0066,temporal,predicted_state,ANSWER,Luca,ANSWER,Gio,0
temporal-0066,temporal,corrupted_state,ANSWER,Luca,ANSWER,Gio,0
temporal-0067,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0067,temporal,predicted_state,ANSWER,Ari,ANSWER,Bora,0
temporal-0067,temporal,corrupted_state,ANSWER,Ari,ANSWER,Bora,0
temporal-0068,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0068,temporal,predicted_state,ANSWER,Ari,ANSWER,Eli,0
temporal-0068,temporal,corrupted_state,ANSWER,Ari,ANSWER,Eli,0
temporal-0069,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0069,temporal,predicted_state,ANSWER,Juno,ANSWER,Eli,0
temporal-0069,temporal,corrupted_state,ANSWER,Juno,ANSWER,Eli,0
temporal-0070,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0070,temporal,predicted_state,ANSWER,Luca,ANSWER,unknown,0
temporal-0070,temporal,corrupted_state,ANSWER,Luca,ANSWER,unknown,0
temporal-0071,temporal,gold_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0071,temporal,predicted_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0071,temporal,corrupted_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0072,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0072,temporal,predicted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0072,temporal,corrupted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0073,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0073,temporal,predicted_state,ANSWER,Eli,ANSWER,Cato,0
temporal-0073,temporal,corrupted_state,ANSWER,Eli,ANSWER,Cato,0
temporal-0074,temporal,gold_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0074,temporal,predicted_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0074,temporal,corrupted_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0075,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0075,temporal,predicted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0075,temporal,corrupted_state,ANSWER,Ivan,ANSWER,unknown,0
temporal-0076,temporal,gold_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0076,temporal,predicted_state,ANSWER,Bora,ANSWER,Faye,0
temporal-0076,temporal,corrupted_state,ANSWER,Bora,ANSWER,Faye,0
temporal-0077,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0077,temporal,predicted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0077,temporal,corrupted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0078,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0078,temporal,predicted_state,ANSWER,Juno,ANSWER,Hana,0
temporal-0078,temporal,corrupted_state,ANSWER,Juno,ANSWER,Hana,0
temporal-0079,temporal,gold_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0079,temporal,predicted_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0079,temporal,corrupted_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0080,temporal,gold_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0080,temporal,predicted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0080,temporal,corrupted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0081,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0081,temporal,predicted_state,ANSWER,Eli,ANSWER,Luca,0
temporal-0081,temporal,corrupted_state,ANSWER,Eli,ANSWER,Luca,0
temporal-0082,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0082,temporal,predicted_state,ANSWER,Kira,ANSWER,unknown,0
temporal-0082,temporal,corrupted_state,ANSWER,Kira,ANSWER,unknown,0
temporal-0083,temporal,gold_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0083,temporal,predicted_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0083,temporal,corrupted_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0084,temporal,gold_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0084,temporal,predicted_state,ANSWER,Hana,ANSWER,Eli,0
temporal-0084,temporal,corrupted_state,ANSWER,Hana,ANSWER,Eli,0
temporal-0085,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0085,temporal,predicted_state,ANSWER,Luca,ANSWER,Cato,0
temporal-0085,temporal,corrupted_state,ANSWER,Luca,ANSWER,Cato,0
temporal-0086,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0086,temporal,predicted_state,ANSWER,Gio,ANSWER,Dina,0
temporal-0086,temporal,corrupted_state,ANSWER,Gio,ANSWER,Dina,0
temporal-0087,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0087,temporal,predicted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0087,temporal,corrupted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0088,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0088,temporal,predicted_state,ANSWER,Juno,ANSWER,unknown,0
temporal-0088,temporal,corrupted_state,ANSWER,Juno,ANSWER,unknown,0
temporal-0089,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0089,temporal,predicted_state,ANSWER,Ivan,ANSWER,Faye,0
temporal-0089,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Faye,0
temporal-0090,temporal,gold_state,ANSWER,Cato,ANSWER,Cato,1
temporal-0090,temporal,predicted_state,ANSWER,Cato,ANSWER,Cato,1
temporal-0090,temporal,corrupted_state,ANSWER,Cato,ANSWER,Cato,1
temporal-0091,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0091,temporal,predicted_state,ANSWER,Juno,ANSWER,Luca,0
temporal-0091,temporal,corrupted_state,ANSWER,Juno,ANSWER,Luca,0
temporal-0092,temporal,gold_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0092,temporal,predicted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0092,temporal,corrupted_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0093,temporal,gold_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0093,temporal,predicted_state,ANSWER,Dina,ANSWER,unknown,0
temporal-0093,temporal,corrupted_state,ANSWER,Dina,ANSWER,unknown,0
temporal-0094,temporal,gold_state,ANSWER,Gio,ANSWER,Gio,1
temporal-0094,temporal,predicted_state,ANSWER,Gio,ANSWER,Hana,0
temporal-0094,temporal,corrupted_state,ANSWER,Gio,ANSWER,Hana,0
temporal-0095,temporal,gold_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0095,temporal,predicted_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0095,temporal,corrupted_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0096,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0096,temporal,predicted_state,ANSWER,Ari,ANSWER,Hana,0
temporal-0096,temporal,corrupted_state,ANSWER,Ari,ANSWER,Hana,0
temporal-0097,temporal,gold_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0097,temporal,predicted_state,ANSWER,Hana,ANSWER,Kira,0
temporal-0097,temporal,corrupted_state,ANSWER,Hana,ANSWER,Kira,0
temporal-0098,temporal,gold_state,ANSWER,Dina,ANSWER,Dina,1
temporal-0098,temporal,predicted_state,ANSWER,Dina,ANSWER,Faye,0
temporal-0098,temporal,corrupted_state,ANSWER,Dina,ANSWER,Faye,0
temporal-0099,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0099,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0099,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0100,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0100,temporal,predicted_state,ANSWER,Kira,ANSWER,Luca,0
temporal-0100,temporal,corrupted_state,ANSWER,Kira,ANSWER,Luca,0
temporal-0101,temporal,gold_state,ANSWER,Faye,ANSWER,Faye,1
temporal-0101,temporal,predicted_state,ANSWER,Faye,ANSWER,unknown,0
temporal-0101,temporal,corrupted_state,ANSWER,Faye,ANSWER,unknown,0
temporal-0102,temporal,gold_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0102,temporal,predicted_state,ANSWER,Hana,ANSWER,Ivan,0
temporal-0102,temporal,corrupted_state,ANSWER,Hana,ANSWER,Ivan,0
temporal-0103,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0103,temporal,predicted_state,ANSWER,Kira,ANSWER,unknown,0
temporal-0103,temporal,corrupted_state,ANSWER,Kira,ANSWER,unknown,0
temporal-0104,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0104,temporal,predicted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0104,temporal,corrupted_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0105,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0105,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0105,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0106,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0106,temporal,predicted_state,ANSWER,Juno,ANSWER,unknown,0
temporal-0106,temporal,corrupted_state,ANSWER,Juno,ANSWER,unknown,0
temporal-0107,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0107,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0107,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0108,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
temporal-0108,temporal,predicted_state,ANSWER,Luca,ANSWER,Eli,0
temporal-0108,temporal,corrupted_state,ANSWER,Luca,ANSWER,Eli,0
temporal-0109,temporal,gold_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0109,temporal,predicted_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0109,temporal,corrupted_state,ANSWER,Eli,ANSWER,Eli,1
temporal-0110,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0110,temporal,predicted_state,ANSWER,Kira,ANSWER,Dina,0
temporal-0110,temporal,corrupted_state,ANSWER,Kira,ANSWER,Dina,0
temporal-0111,temporal,gold_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0111,temporal,predicted_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0111,temporal,corrupted_state,ANSWER,Bora,ANSWER,Bora,1
temporal-0112,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0112,temporal,predicted_state,ANSWER,Ari,ANSWER,Cato,0
temporal-0112,temporal,corrupted_state,ANSWER,Ari,ANSWER,Cato,0
temporal-0113,temporal,gold_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0113,temporal,predicted_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0113,temporal,corrupted_state,ANSWER,Hana,ANSWER,Hana,1
temporal-0114,temporal,gold_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0114,temporal,predicted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0114,temporal,corrupted_state,ANSWER,Ivan,ANSWER,Ivan,1
temporal-0115,temporal,gold_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0115,temporal,predicted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0115,temporal,corrupted_state,ANSWER,Juno,ANSWER,Juno,1
temporal-0116,temporal,gold_state,ANSWER,Kira,ANSWER,Kira,1
temporal-0116,temporal,predicted_state,ANSWER,Kira,ANSWER,Cato,0
temporal-0116,temporal,corrupted_state,ANSWER,Kira,ANSWER,Cato,0
temporal-0117,temporal,gold_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0117,temporal,predicted_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0117,temporal,corrupted_state,ANSWER,Ari,ANSWER,Ari,1
temporal-0118,temporal,gold_state,ANSWER,Luca,ANSWER,Luca,1
