blind_id,item_id,question,evidence,action,answer,temporal_state,modality,scope,source_status,observer_state,world,notes
8a5afd42ef6cce1a,modality-0066,Has Delta been closed?,"[{""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 18, ""valid_from"": 18, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",,,,,,,,,
4dd492219ccd79be,hidden_premise-0135,Can I register now?,"[{""text"": ""Registration is open for Alpha residents until day 21."", ""actor"": ""Alpha"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 16, ""valid_from"": 16, ""valid_to"": 21, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
bf0cd12d70058ecf,scope-0226,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Beta unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Beta"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",,,,,,,,,
85591187d8e99560,modality-0296,Has Delta been closed?,"[{""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 11, ""valid_from"": 11, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 12, ""valid_from"": 12, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",,,,,,,,,
1df6ea1b54129eb2,counterfactual-0091,"In the hypothetical scenario, can users access service Gamma?","[{""text"": ""In reality, service Gamma is offline."", ""actor"": ""Gamma"", ""event"": ""offline"", ""target"": ""service"", ""time"": 12, ""valid_from"": 12, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Gamma remains online."", ""actor"": ""Gamma"", ""event"": ""online"", ""target"": ""service"", ""time"": 13, ""valid_from"": 13, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",,,,,,,,,
6915147e75816d0d,temporal-0515,Who is the current lead at time 17?,"[{""text"": ""Eli resigned as lead."", ""actor"": ""Eli"", ""event"": ""resign"", ""target"": ""lead"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye was appointed lead."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""lead"", ""time"": 11, ""valid_from"": 11, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Eli was appointed lead."", ""actor"": ""Eli"", ""event"": ""appoint"", ""target"": ""lead"", ""time"": 1, ""valid_from"": 1, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
de0eb8bcfa329949,observer-0286,Does Ivan believe the meeting will occur?,"[{""text"": ""Ivan received the original meeting invitation."", ""actor"": ""Ivan"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Ivan""}, {""text"": ""The meeting was cancelled, but Ivan did not receive the cancellation."", ""actor"": ""Ivan"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Juno"", ""Dina""]}]",,,,,,,,,
2e7c76634776db44,counterfactual-0370,"In the hypothetical scenario, can users access service Beta?","[{""text"": ""In the hypothetical scenario, service Beta remains online."", ""actor"": ""Beta"", ""event"": ""online"", ""target"": ""service"", ""time"": 18, ""valid_from"": 18, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}, {""text"": ""In reality, service Beta is offline."", ""actor"": ""Beta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}]",,,,,,,,,
6adb6790c379bb33,observer-0053,Does Faye believe the meeting will occur?,"[{""text"": ""Faye received the original meeting invitation."", ""actor"": ""Faye"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Faye""}, {""text"": ""The meeting was cancelled, but Faye did not receive the cancellation."", ""actor"": ""Faye"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 16, ""valid_from"": 16, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Luca"", ""Cato""]}]",,,,,,,,,
ca3aa057a8c094b5,temporal-0525,Who is the current director at time 15?,"[{""text"": ""Kira resigned as director."", ""actor"": ""Kira"", ""event"": ""resign"", ""target"": ""director"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Kira was appointed director."", ""actor"": ""Kira"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 12, ""valid_from"": 12, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Juno was appointed director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
31dd1e08001779d5,modality-0162,Has Gamma been closed?,"[{""text"": ""The board is considering closing Gamma."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Gamma"", ""time"": 15, ""valid_from"": 15, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Gamma""}, {""text"": ""No decision has been made about closing Gamma."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Gamma"", ""time"": 16, ""valid_from"": 16, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Gamma""}]",,,,,,,,,
1e53db63e74b8a03,modality-0388,Has Beta been closed?,"[{""text"": ""The board is considering closing Beta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Beta"", ""time"": 4, ""valid_from"": 4, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Beta""}, {""text"": ""No decision has been made about closing Beta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Beta"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",,,,,,,,,
f52ee0901805c627,hidden_premise-0060,Can I register now?,"[{""text"": ""Registration is open for Beta residents until day 20."", ""actor"": ""Beta"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 15, ""valid_from"": 15, ""valid_to"": 20, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",,,,,,,,,
bcdd10bd9ef9adfe,modality-0202,Has Delta been closed?,"[{""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 16, ""valid_from"": 16, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",,,,,,,,,
1fe162f067a907ad,scope-0042,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 16, ""valid_from"": 16, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
e03adf2d10b27499,modality-0102,Has Alpha been closed?,"[{""text"": ""No decision has been made about closing Alpha."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Alpha"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}, {""text"": ""The board is considering closing Alpha."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Alpha"", ""time"": 5, ""valid_from"": 5, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
98b497740b94f4e5,hidden_premise-0580,Can I register now?,"[{""text"": ""Registration is open for Gamma residents until day 12."", ""actor"": ""Gamma"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 7, ""valid_from"": 7, ""valid_to"": 12, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Gamma""}]",,,,,,,,,
b4a4b28f69d640e8,counterfactual-0441,"In the hypothetical scenario, can users access service Gamma?","[{""text"": ""In the hypothetical scenario, service Gamma remains online."", ""actor"": ""Gamma"", ""event"": ""online"", ""target"": ""service"", ""time"": 8, ""valid_from"": 8, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}, {""text"": ""In reality, service Gamma is offline."", ""actor"": ""Gamma"", ""event"": ""offline"", ""target"": ""service"", ""time"": 7, ""valid_from"": 7, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}]",,,,,,,,,
018b5908de8e6d06,temporal-0353,Who is the current lead at time 17?,"[{""text"": ""Hana was appointed lead."", ""actor"": ""Hana"", ""event"": ""appoint"", ""target"": ""lead"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Dina was appointed lead."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""lead"", ""time"": 11, ""valid_from"": 11, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Dina resigned as lead."", ""actor"": ""Dina"", ""event"": ""resign"", ""target"": ""lead"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
11050a90110c499d,source_conflict-0124,Who is the lead?,"[{""text"": ""An anonymous post says Faye became lead."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""lead"", ""time"": 14, ""valid_from"": 14, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Bora as lead."", ""actor"": ""Bora"", ""event"": ""appoint"", ""target"": ""lead"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
b1a60f5083c32cfa,observer-0036,Does Gio believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Gio did not receive the cancellation."", ""actor"": ""Gio"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Bora"", ""Dina""]}, {""text"": ""Gio received the original meeting invitation."", ""actor"": ""Gio"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Gio""}]",,,,,,,,,
0f744f7fc0c0edad,source_conflict-0509,Who is the director?,"[{""text"": ""An anonymous post says Juno became director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 16, ""valid_from"": 16, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Hana as director."", ""actor"": ""Hana"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
7d97ad0b866aa712,hidden_premise-0078,Can I register now?,"[{""text"": ""Registration is open for Alpha residents until day 10."", ""actor"": ""Alpha"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 5, ""valid_from"": 5, ""valid_to"": 10, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
587040c033e34887,scope-0062,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 18, ""valid_from"": 18, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
5237c9201ec0ae76,modality-0171,Has Delta been closed?,"[{""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 13, ""valid_from"": 13, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}]",,,,,,,,,
6a0ce77bbe17ad75,scope-0047,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 12, ""valid_from"": 12, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
dcbadb0a5c2f316c,temporal-0165,Who is the current director at time 11?,"[{""text"": ""Bora resigned as director."", ""actor"": ""Bora"", ""event"": ""resign"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Juno was appointed director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Bora was appointed director."", ""actor"": ""Bora"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
266cc9bc21f93ada,scope-0400,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
54a20a61c298906b,source_conflict-0476,Who is the director?,"[{""text"": ""The official notice confirms Ari as director."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""An anonymous post says Kira became director."", ""actor"": ""Kira"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 7, ""valid_from"": 7, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}]",,,,,,,,,
c836b32536f9759e,observer-0055,Does Dina believe the meeting will occur?,"[{""text"": ""Dina received the original meeting invitation."", ""actor"": ""Dina"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Dina""}, {""text"": ""The meeting was cancelled, but Dina did not receive the cancellation."", ""actor"": ""Dina"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 12, ""valid_from"": 12, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Eli"", ""Cato""]}]",,,,,,,,,
7c1fc12dd5c7d4d5,source_conflict-0540,Who is the director?,"[{""text"": ""The official notice confirms Gio as director."", ""actor"": ""Gio"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""An anonymous post says Cato became director."", ""actor"": ""Cato"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 13, ""valid_from"": 13, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}]",,,,,,,,,
b6823eb1057e5e9b,observer-0020,Does Faye believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Faye did not receive the cancellation."", ""actor"": ""Faye"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 11, ""valid_from"": 11, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Luca"", ""Eli""]}, {""text"": ""Faye received the original meeting invitation."", ""actor"": ""Faye"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Faye""}]",,,,,,,,,
3039313ed5819b6f,observer-0279,Does Cato believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Cato did not receive the cancellation."", ""actor"": ""Cato"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 12, ""valid_from"": 12, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Hana"", ""Ivan""]}, {""text"": ""Cato received the original meeting invitation."", ""actor"": ""Cato"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Cato""}]",,,,,,,,,
17ddc7a99bf4d588,source_conflict-0462,Who is the director?,"[{""text"": ""An anonymous post says Juno became director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Faye as director."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
e9595ed08ea929ca,source_conflict-0096,Who is the coordinator?,"[{""text"": ""The official notice confirms Ari as coordinator."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""An anonymous post says Dina became coordinator."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 18, ""valid_from"": 18, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}]",,,,,,,,,
4ca0044b45447a72,hidden_premise-0535,Can I register now?,"[{""text"": ""Registration is open for Alpha residents until day 13."", ""actor"": ""Alpha"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 8, ""valid_from"": 8, ""valid_to"": 13, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
5835ba17f7f99255,observer-0505,Does Hana believe the meeting will occur?,"[{""text"": ""Hana received the original meeting invitation."", ""actor"": ""Hana"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Hana""}, {""text"": ""The meeting was cancelled, but Hana did not receive the cancellation."", ""actor"": ""Hana"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Gio"", ""Luca""]}]",,,,,,,,,
12b5b6fa48e7ec2c,temporal-0443,Who is the current coordinator at time 11?,"[{""text"": ""Dina was appointed coordinator."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 2, ""valid_from"": 2, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Dina resigned as coordinator."", ""actor"": ""Dina"", ""event"": ""resign"", ""target"": ""coordinator"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Ivan was appointed coordinator."", ""actor"": ""Ivan"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
07b8d4433d6a73b6,counterfactual-0365,"In the hypothetical scenario, can users access service Alpha?","[{""text"": ""In the hypothetical scenario, service Alpha remains online."", ""actor"": ""Alpha"", ""event"": ""online"", ""target"": ""service"", ""time"": 10, ""valid_from"": 10, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}, {""text"": ""In reality, service Alpha is offline."", ""actor"": ""Alpha"", ""event"": ""offline"", ""target"": ""service"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}]",,,,,,,,,
